request_id,request_date,department,requester_role,item_category,item_description,vendor_name,amount_cad,budget_code,budget_code_valid,approval_level,current_status,manager_approval_date,finance_review_date,po_created_date,received_date,cycle_time_days,exception_reason,priority,delivery_status,payment_status
PR-2026-0033,2026-02-02,Maintenance,Maintenance Lead,Vendor Service,Marine waste pickup service,NorthPier Dockworks,456.57,MAINT-PART-220,TRUE,Department Manager,Pending Procurement Review,2026-02-06,,,,4,Missing Quote,High,Not Ordered,On Hold
PR-2026-0034,2026-02-03,Logistics,Logistics Coordinator,Parts,Bilge pump replacement parts,RedMoor Operations Supply,3611.68,LOG-FUEL-410,TRUE,Department Manager + Finance,Approved,2026-02-07,2026-02-11,,,8,No Exception,Low,Not Ordered,Not Invoiced
PR-2026-0035,2026-02-04,Administration,Administrative Coordinator,Vendor Service,Vendor setup review support,NorthPier Dockworks,10671.32,ADMIN-OFF-500,TRUE,Department Manager + Finance + Executive Sponsor,Closed,2026-02-07,2026-02-08,2026-02-11,2026-02-15,11,Amount Over Threshold,High,Received,Payment Pending
PR-2026-0036,2026-02-05,Vessel Operations,Vessel Operations Coordinator,Fuel/Operations Supply,Operations lubricant restock,NorthPier Dockworks,1842.65,VO-SAFE-130,TRUE,Department Manager + Finance,Rejected,,,,,6,Duplicate Request,Medium,Cancelled,On Hold
PR-2026-0037,2026-02-06,Maintenance,Operations Supervisor,Repair Service,Crane control panel repair,Dockspan Equipment Services,15264.07,MAINT-REP-210,TRUE,Department Manager + Finance + Executive Sponsor,Closed,2026-02-10,2026-02-12,2026-02-16,2026-02-24,18,Amount Over Threshold,High,Received,Payment Pending
PR-2026-0038,2026-02-07,Finance,Finance Analyst,Vendor Service,Temporary labour support for receiving,Cabotline Maintenance,3166.63,FIN-OPS-700,TRUE,Department Manager + Finance,Received,2026-02-10,2026-02-13,2026-02-18,2026-02-28,21,No Exception,Low,Received,Payment Pending
PR-2026-0039,2026-02-08,Administration,Administrative Coordinator,Office/Admin,Pilot training room supplies,Avalon Quay Office Supply,3310.62,ADMIN-SVC-520,TRUE,Department Manager + Finance,Received,2026-02-10,2026-02-11,2026-02-14,2026-02-28,20,No Exception,Medium,Received,Matched
PR-2026-0040,2026-02-09,Vessel Operations,Operations Supervisor,Repair Service,Dock door repair service,Quaymark Repair Services,46976.44,VO-OPS-100,TRUE,Emergency Safety Exception,Closed,2026-02-10,2026-02-12,2026-02-16,2026-03-03,22,Urgent Safety Purchase,Emergency,Received,Payment Pending
PR-2026-0041,2026-02-10,Maintenance,Procurement Assistant,Parts,Engine room gasket set,BlueKeel Marine Parts,848.32,MAINT-SVC-230,TRUE,Department Manager,PO Created,2026-02-13,,2026-02-18,,8,No Exception,High,Ordered,Not Invoiced
PR-2026-0042,2026-02-11,Logistics,Logistics Coordinator,Fuel/Operations Supply,Fuel transfer pump service,EastCove Fuel Services,7910.06,LOG-FUEL-410,TRUE,Department Manager + Finance,Received,2026-02-13,2026-02-14,2026-02-19,2026-03-09,26,No Exception,Low,Received,Payment Pending
PR-2026-0043,2026-02-12,Maintenance,Operations Supervisor,Parts,Stern light mounting brackets,Bayspan Hydraulics,810.34,MAINT-PART-220,TRUE,Department Manager,Closed,2026-02-15,,2026-02-17,2026-03-02,18,No Exception,Low,Received,Paid
PR-2026-0044,2026-02-13,Administration,Administrative Coordinator,Office/Admin,Desk chairs for shared operations office,Avalon Quay Office Supply,355.54,VO-MISC-999,FALSE,Department Manager,On Hold,,,,,9,Missing Budget Code,Medium,Not Ordered,On Hold
PR-2026-0045,2026-02-14,IT,Procurement Assistant,Vendor Service,Pilot workflow training support,NorthPier Dockworks,4037.38,IT-SUP-620,TRUE,Department Manager + Finance,Received,2026-02-15,2026-02-18,2026-02-20,2026-03-01,15,No Exception,Low,Received,Invoice Received
PR-2026-0046,2026-02-15,Finance,Finance Analyst,IT Equipment,Wireless access point for maintenance shop,SignalHarbour IT Solutions,16520.05,FIN-AUD-710,TRUE,Department Manager + Finance + Executive Sponsor,Closed,2026-02-17,2026-02-21,2026-02-23,2026-03-07,20,Amount Over Threshold,Medium,Received,Payment Pending
PR-2026-0047,2026-02-16,Maintenance,Operations Supervisor,Repair Service,Crane control panel repair,NorthPier Dockworks,6994.31,MAINT-SVC-230,TRUE,Department Manager + Finance,Received,2026-02-19,2026-02-21,2026-02-24,2026-03-10,22,No Exception,Low,Received,Matched
PR-2026-0048,2026-02-17,IT,IT Support Analyst,IT Equipment,UAT laptop loaner kit,SignalCove Electronics,9315.90,IT-EQ-610,TRUE,Department Manager + Finance,Closed,2026-02-19,2026-02-23,2026-02-26,2026-03-15,26,No Exception,Low,Received,Paid
PR-2026-0049,2026-02-18,Administration,Administrative Coordinator,Vendor Service,Preferred vendor rate review,Cabotline Maintenance,7751.98,ADMIN-SVC-520,TRUE,Department Manager + Finance,PO Created,2026-02-22,2026-02-26,2026-03-02,,12,No Exception,Low,Ordered,Not Invoiced
PR-2026-0050,2026-02-19,IT,IT Support Analyst,Vendor Service,Preferred vendor rate review,Dockspan Equipment Services,5608.06,IT-SUP-620,TRUE,Department Manager + Finance,PO Created,2026-02-20,2026-02-22,2026-02-27,,8,No Exception,Low,Ordered,Not Invoiced
PR-2026-0051,2026-02-20,Vessel Operations,Operations Supervisor,Safety Equipment,Emergency eyewash station supplies,Tidewatch Safety Systems,7001.33,VO-SAFE-130,TRUE,Department Manager + Finance,Closed,2026-02-22,2026-02-25,2026-03-02,2026-03-13,21,No Exception,Medium,Received,Matched
PR-2026-0052,2026-02-21,Maintenance,Operations Supervisor,Parts,Engine room gasket set,RedMoor Operations Supply,479.57,MAINT-SVC-230,TRUE,Department Manager,Closed,2026-02-25,,2026-02-28,2026-03-04,11,No Exception,Low,Received,Matched
PR-2026-0053,2026-02-22,Logistics,Procurement Assistant,Fuel/Operations Supply,Bulk absorbent pads for dock operations,NorthPier Dockworks,8936.64,LOG-DCK-430,TRUE,Department Manager + Finance,Received,2026-02-24,2026-02-28,2026-03-04,2026-03-11,17,No Exception,High,Received,Payment Pending
PR-2026-0054,2026-02-23,Finance,Procurement Assistant,Office/Admin,Binders for UAT training packets,AdminCove Business Services,2347.03,FIN-AUD-710,TRUE,Department Manager + Finance,Partially Received,2026-02-27,2026-03-02,2026-03-03,2026-03-07,12,Delayed Vendor Response,High,Delayed,Payment Pending
PR-2026-0055,2026-02-24,Maintenance,Procurement Assistant,Safety Equipment,Fire extinguisher inspection tags,RedMoor Operations Supply,574.09,MAINT-PART-220,TRUE,Department Manager,Approved,2026-02-27,,,,3,No Exception,Medium,Not Ordered,Not Invoiced
PR-2026-0056,2026-02-25,Maintenance,Procurement Assistant,Repair Service,Deck winch diagnostic service,Lighthouse Procurement Services,631.79,MAINT-SVC-230,TRUE,Department Manager,Rejected,,,,,1,Invalid Vendor,Medium,Cancelled,On Hold
PR-2026-0057,2026-02-26,Maintenance,Maintenance Lead,Repair Service,Vendor repair service for loading equipment,NorthPier Dockworks,379.07,MAINT-REP-210,TRUE,Department Manager,Closed,2026-02-28,,2026-03-03,2026-03-06,8,No Exception,Medium,Received,Payment Pending
PR-2026-0058,2026-02-27,Vessel Operations,Procurement Assistant,Repair Service,Vendor repair service for loading equipment,Cabotline Maintenance,808.47,VO-OPS-100,TRUE,Department Manager,Closed,2026-03-03,,2026-03-04,2026-03-22,23,No Exception,Medium,Received,Matched
PR-2026-0059,2026-02-28,Logistics,Operations Supervisor,Repair Service,Bilge alarm troubleshooting service,Quaymark Repair Services,458.68,LOG-FUEL-410,TRUE,Department Manager,Closed,2026-03-02,,2026-03-04,2026-03-07,7,No Exception,Low,Received,Payment Pending
PR-2026-0060,2026-03-01,Logistics,Logistics Coordinator,Parts,Bilge pump replacement parts,BlueKeel Marine Parts,618.08,LOG-FRT-420,TRUE,Department Manager,Closed,2026-03-03,,2026-03-06,2026-03-23,22,No Exception,Medium,Received,Paid
PR-2026-0061,2026-03-02,Maintenance,Procurement Assistant,Parts,Hydraulic hose replacement kit,Lighthouse Procurement Services,6964.54,MAINT-SVC-230,TRUE,Department Manager + Finance,Rejected,,,,,4,Invalid Vendor,Medium,Cancelled,On Hold
PR-2026-0062,2026-03-03,Logistics,Operations Supervisor,Parts,Stern light mounting brackets,RedMoor Operations Supply,570.40,LOG-FUEL-410,TRUE,Department Manager,Received,2026-03-04,,2026-03-05,2026-03-15,12,No Exception,Low,Received,Invoice Received
PR-2026-0063,2026-03-04,Vessel Operations,Operations Supervisor,Fuel/Operations Supply,Winter deicing supply order,FogBank Industrial Supply,5616.47,VO-OPS-100,TRUE,Department Manager + Finance,Partially Received,2026-03-05,2026-03-06,2026-03-08,,4,No Exception,Low,Partially Received,Invoice Received
PR-2026-0064,2026-03-05,Safety,Safety Coordinator,Safety Equipment,Cold weather grip cleats,FogBank Industrial Supply,904.99,SAFE-RESP-330,TRUE,Department Manager,Received,2026-03-06,,2026-03-09,2026-03-25,20,No Exception,Medium,Received,Invoice Received
PR-2026-0065,2026-03-06,IT,IT Support Analyst,IT Equipment,Label printer for receiving station,SignalHarbour IT Solutions,26620.80,IT-EQ-610,TRUE,Capital/Special Review,Closed,2026-03-09,2026-03-10,2026-03-15,2026-03-25,19,No Exception,Medium,Received,Payment Pending
PR-2026-0066,2026-03-07,Safety,Safety Coordinator,Safety Equipment,Fall arrest lanyard set,FogBank Industrial Supply,4329.34,SAFE-PPE-300,TRUE,Emergency Safety Exception,Closed,2026-03-09,2026-03-11,2026-03-16,2026-03-21,14,Urgent Safety Purchase,Emergency,Received,Matched
PR-2026-0067,2026-03-08,IT,Procurement Assistant,Vendor Service,Dockside equipment inspection service,Lighthouse Procurement Services,5183.36,IT-EQ-610,TRUE,Department Manager + Finance,Received,2026-03-09,2026-03-10,2026-03-14,2026-03-16,8,No Exception,High,Received,Invoice Received
PR-2026-0068,2026-03-09,Safety,Operations Supervisor,Vendor Service,Temporary labour support for receiving,Dockspan Equipment Services,190.85,SAFE-EQ-320,TRUE,Department Manager,PO Created,2026-03-13,,2026-03-18,,9,No Exception,High,Ordered,Not Invoiced
PR-2026-0069,2026-03-10,IT,Procurement Assistant,Vendor Service,Dockside equipment inspection service,Dockspan Equipment Services,933.19,IT-EQ-610,TRUE,Department Manager,Received,2026-03-14,,2026-03-17,2026-04-04,25,No Exception,Low,Received,Invoice Received
PR-2026-0070,2026-03-11,Safety,Safety Coordinator,Vendor Service,Dockside equipment inspection service,Cabotline Maintenance,1659.89,SAFE-PPE-300,TRUE,Department Manager + Finance,Received,2026-03-13,2026-03-16,2026-03-21,2026-04-07,27,No Exception,Medium,Received,Matched
PR-2026-0071,2026-03-12,Maintenance,Maintenance Lead,Fuel/Operations Supply,Operations lubricant restock,RedMoor Operations Supply,7169.00,MAINT-PART-220,TRUE,Department Manager + Finance,PO Created,2026-03-15,2026-03-17,2026-03-21,,9,No Exception,Low,Ordered,Not Invoiced
PR-2026-0072,2026-03-13,Vessel Operations,Procurement Assistant,Repair Service,Vendor repair service for loading equipment,Cabotline Maintenance,3837.75,VO-MAINT-120,TRUE,Department Manager + Finance,Closed,2026-03-17,2026-03-20,2026-03-25,2026-03-29,16,No Exception,Medium,Received,Paid
PR-2026-0073,2026-03-14,IT,IT Support Analyst,Office/Admin,Printer toner and paper restock,Lighthouse Procurement Services,364.95,IT-EQ-610,TRUE,Department Manager,Pending Procurement Review,2026-03-16,,,,2,Missing Quote,High,Not Ordered,On Hold
PR-2026-0074,2026-03-15,Maintenance,Procurement Assistant,Repair Service,Ramp surface repair service,Cabotline Maintenance,3531.48,MAINT-REP-210,TRUE,Department Manager + Finance,Rejected,,,,,4,Missing Quote,Medium,Cancelled,On Hold
PR-2026-0075,2026-03-16,Maintenance,Procurement Assistant,Parts,Winch control switch assembly,RedMoor Operations Supply,944.11,MAINT-REP-210,TRUE,Department Manager,Partially Received,2026-03-18,,2026-03-20,2026-03-31,15,No Exception,Medium,Partially Received,On Hold
PR-2026-0076,2026-03-17,Maintenance,Procurement Assistant,Repair Service,Dock door repair service,Quaymark Repair Services,610.85,MAINT-SVC-230,TRUE,Department Manager,Closed,2026-03-21,,2026-03-22,2026-03-31,14,No Exception,Low,Received,Paid
PR-2026-0077,2026-03-18,Maintenance,Maintenance Lead,Safety Equipment,Marine first aid cabinet refill,FogBank Industrial Supply,180.95,,FALSE,Department Manager,Rejected,,,,,4,Missing Budget Code,Medium,Cancelled,On Hold
PR-2026-0078,2026-03-19,Vessel Operations,Vessel Operations Coordinator,Repair Service,Emergency repair for vessel generator,Cabotline Maintenance,885.40,VO-OPS-100,TRUE,Department Manager,Pending Procurement Review,2026-03-22,,,,3,No Exception,Low,Not Ordered,Not Invoiced
PR-2026-0079,2026-03-20,Vessel Operations,Procurement Assistant,Parts,Deck crane seal pack,RedMoor Operations Supply,662.43,VO-MAINT-120,TRUE,Department Manager,Partially Received,2026-03-21,,2026-03-22,2026-03-24,4,No Exception,Medium,Partially Received,On Hold
PR-2026-0080,2026-03-21,Maintenance,Operations Supervisor,Vendor Service,Dockside equipment inspection service,Quaymark Repair Services,6492.78,MAINT-SVC-230,TRUE,Department Manager + Finance,On Hold,2026-03-22,,,,1,No Exception,Low,Not Ordered,On Hold
PR-2026-0081,2026-03-22,IT,IT Support Analyst,Vendor Service,Marine waste pickup service,Dockspan Equipment Services,45381.95,IT-EQ-610,TRUE,Capital/Special Review,Closed,2026-03-24,2026-03-28,2026-03-31,2026-04-17,26,No Exception,Medium,Received,Payment Pending
PR-2026-0082,2026-03-23,Logistics,Procurement Assistant,Fuel/Operations Supply,Dockside operations tool replenishment,EastCove Fuel Services,584.92,LOG-FRT-420,TRUE,Department Manager,On Hold,2026-03-24,,,,1,Missing Quote,High,Not Ordered,On Hold
PR-2026-0083,2026-03-24,Vessel Operations,Vessel Operations Coordinator,Fuel/Operations Supply,Mooring line replacement coil,RedMoor Operations Supply,3361.15,VO-MAINT-120,TRUE,Department Manager + Finance,PO Created,2026-03-28,2026-03-31,2026-04-02,,9,No Exception,Low,Ordered,Invoice Received
PR-2026-0084,2026-03-25,Maintenance,Operations Supervisor,Safety Equipment,Cold weather grip cleats,RedMoor Operations Supply,771.99,MAINT-REP-210,TRUE,Department Manager,PO Created,2026-03-27,,2026-03-30,,5,No Exception,Medium,Ordered,Invoice Received
PR-2026-0085,2026-03-26,IT,Procurement Assistant,Vendor Service,Quote validation support service,Cabotline Maintenance,636.17,TEMP-000,FALSE,Department Manager,Pending Finance Review,2026-03-28,,,,2,Missing Budget Code,Medium,Not Ordered,On Hold
PR-2026-0086,2026-03-27,Vessel Operations,Procurement Assistant,Safety Equipment,Cold weather grip cleats,Lighthouse Procurement Services,162.39,VO-MAINT-120,TRUE,Department Manager,Pending Procurement Review,2026-03-31,,,,4,Invalid Vendor,Medium,Not Ordered,On Hold
PR-2026-0087,2026-03-28,Maintenance,Procurement Assistant,Parts,Hydraulic hose replacement kit,BlueKeel Marine Parts,858.63,MAINT-REP-210,TRUE,Department Manager,Closed,2026-03-31,,2026-04-02,2026-04-20,23,No Exception,Medium,Received,Paid
PR-2026-0088,2026-03-29,Logistics,Procurement Assistant,Vendor Service,Preferred vendor rate review,Quaymark Repair Services,932.18,LOG-DCK-430,TRUE,Department Manager,Closed,2026-04-01,,2026-04-02,2026-04-16,18,No Exception,Low,Received,Paid
PR-2026-0089,2026-03-30,IT,Procurement Assistant,Office/Admin,Pilot training room supplies,Avalon Quay Office Supply,1383.56,IT-SUP-620,TRUE,Department Manager + Finance,PO Created,2026-03-31,2026-04-01,2026-04-04,,5,No Exception,Medium,Ordered,Invoice Received
PR-2026-0090,2026-03-31,IT,Procurement Assistant,IT Equipment,Dock office network switch,SignalCove Electronics,42127.76,IT-EQ-610,TRUE,Capital/Special Review,Received,2026-04-02,2026-04-06,2026-04-11,2026-04-20,20,No Exception,Medium,Received,Payment Pending
PR-2026-0091,2026-04-01,Finance,Procurement Assistant,Vendor Service,Vendor setup review support,Quaymark Repair Services,890.55,FIN-OPS-700,TRUE,Department Manager,Pending Procurement Review,2026-04-05,,,,4,Missing Quote,High,Not Ordered,On Hold
PR-2026-0092,2026-04-02,Safety,Safety Coordinator,Office/Admin,Operations office stationery order,AdminCove Business Services,27873.49,SAFE-PPE-300,TRUE,Capital/Special Review,Received,2026-04-04,2026-04-06,2026-04-10,2026-04-17,15,No Exception,High,Received,Invoice Received
PR-2026-0093,2026-04-03,Vessel Operations,Operations Supervisor,Fuel/Operations Supply,Operations lubricant restock,EastCove Fuel Services,2196.83,VO-OPS-100,TRUE,Department Manager + Finance,Closed,2026-04-04,2026-04-08,2026-04-09,2026-04-20,17,No Exception,Low,Received,Paid
PR-2026-0094,2026-04-04,Maintenance,Maintenance Lead,Vendor Service,After hours service call coverage,Dockspan Equipment Services,8625.48,MAINT-REP-210,TRUE,Department Manager + Finance,Pending Finance Review,2026-04-07,,,,3,No Exception,Medium,Not Ordered,Not Invoiced
PR-2026-0095,2026-04-05,Logistics,Logistics Coordinator,Vendor Service,Dockside equipment inspection service,Cabotline Maintenance,20257.74,LOG-FUEL-410,TRUE,Capital/Special Review,Rejected,,,,,5,Duplicate Request,Low,Cancelled,On Hold
PR-2026-0096,2026-04-06,Vessel Operations,Procurement Assistant,Repair Service,Vendor repair service for loading equipment,NorthPier Dockworks,14357.55,VO-MAINT-120,TRUE,Department Manager + Finance + Executive Sponsor,Partially Received,2026-04-09,2026-04-11,2026-04-13,,7,No Exception,Medium,Partially Received,On Hold
PR-2026-0097,2026-04-07,Safety,Operations Supervisor,Vendor Service,Specialized lifting equipment rental,Cabotline Maintenance,176.10,SAFE-RESP-330,TRUE,Department Manager,Partially Received,2026-04-10,,2026-04-13,2026-04-24,17,No Exception,Low,Partially Received,Invoice Received
PR-2026-0098,2026-04-08,Logistics,Operations Supervisor,Parts,Engine room gasket set,FogBank Industrial Supply,18950.18,LOG-FUEL-410,TRUE,Department Manager + Finance + Executive Sponsor,PO Created,2026-04-09,2026-04-13,2026-04-15,,7,No Exception,Medium,Ordered,Invoice Received
PR-2026-0099,2026-04-09,Maintenance,Procurement Assistant,Safety Equipment,Confined space gas monitor calibration,FogBank Industrial Supply,21503.55,MAINT-SVC-230,TRUE,Department Manager + Finance + Executive Sponsor,Closed,2026-04-11,2026-04-13,2026-04-17,2026-05-05,26,Amount Over Threshold,High,Received,Matched
PR-2026-0100,2026-04-10,Vessel Operations,Vessel Operations Coordinator,Parts,Winch control switch assembly,RedMoor Operations Supply,4196.13,VO-OPS-100,TRUE,Department Manager + Finance,Partially Received,2026-04-13,2026-04-16,2026-04-20,,10,No Exception,High,Partially Received,Payment Pending
